producto,marca,categoria,codigo_barras,presentacion,factor_unidades,precio,stock_inicial
Ambientador Sapolio Vainilla Francesa 360 ml,Sapolio,Limpieza del Hogar,7751851013260,Unidad,1,7.0,0
Ambro Mellows Clasicos x 230 g,Ambro,Confitería y Golosinas,7750885003704,Unidad,1,4.5,0
Ambro Mellows Surtido 230 g,Ambro,Confitería y Golosinas,7750885003704,Unidad,1,4.5,0
ambrosoli full cherry 22.5 g,Ambrosoli,Confitería y Golosinas,7750885008877,Unidad,1,1.0,0
ambrosoli gomas ambrosito 25 g,Ambrosoli,Confitería y Golosinas,7750885009836,Unidad,1,1.0,5
ambrosoli gomas flipy 25 g,Ambrosoli,Confitería y Golosinas,7750885009478,Unidad,1,1.0,0
ambrosoli mentitas 21 g,Ambrosoli,Confitería y Golosinas,7750885024419,Unidad,1,1.0,0
American Adulto x KG,American,Mascotas,,Unidad,1,12.0,0
American Cachorro x KG,American,Mascotas,,Unidad,1,12.0,0
Angel Chock x 20 g,Ángel,Abarrotes,,Unidad,1,0.8,0
Angel Choco. La Iberica 50g,La Ibérica,Confitería y Golosinas,7750060003123,Unidad,1,10.0,0
Angel Copos de Avena 120 gr,Ángel,Abarrotes,7750243082785,Unidad,1,3.5,0
Angel Fruit x 20 g,Ángel,Abarrotes,7759826005340,Unidad,1,0.8,2
Angel Meli x 20 g,Ángel,Abarrotes,7759826006101,Unidad,1,0.8,0
Angel Zuck x 20 g,Ángel,Abarrotes,7759826005319,Unidad,1,0.8,0
anis del valle anis 25 und,Del Valle,Abarrotes,7750520000075,Unidad,1,2.5,0
Anis Del Valle x UND,Del Valle,Abarrotes,7750520000082,Unidad,1,0.1,0
Anis estrella sobre SM 1 und,Genérico,Abarrotes,,Unidad,1,1.0,0
Anis grano sobre SM 1 und,Genérico,Abarrotes,,Unidad,1,0.5,0
Anis Hornimans 25 uni,Hornimans,Abarrotes,7750632000406,Unidad,1,2.5,0
Anis Mc Colins 1 und,Mc Colins,Abarrotes,,Unidad,1,0.15,0
ANIS MC COLINS 25 UND,Mc Colins,Abarrotes,7750477080106,Unidad,1,3.5,0
Anis Najar Cafe especial 750 ml,Nájar,Licores y Cervezas,7759291000758,Unidad,1,47.0,0
Anis Najar Frutos rojos 750 ml,Nájar,Licores y Cervezas,7759291000932,Unidad,1,47.0,0
Anis Najar Rojo Crema Especial x 750 ml,Nájar,Licores y Cervezas,7759291179133,Unidad,1,39.0,0
ANIS NAJAR SECO ESPECIAL 125 ML PETACA,Nájar,Licores y Cervezas,7759291000017,Unidad,1,12.0,4
ANIS NAJAR VERDE SECO ESPECIAL 750 ML,Nájar,Licores y Cervezas,7759291179119,Unidad,1,37.0,3
Apanado Mezcla Maggi 80 g,Maggi,Abarrotes,7613287314345,Unidad,1,3.2,0
Apio x unid,Genérico,Frutas y Verduras,,Unidad,1,0.5,0
Arena Gatos Bubucat Lavanda x KG,Bubucat,Mascotas,,Unidad,1,3.0,0
Arena Gatos Bubucat x 5 kg,Bubucat,Mascotas,745853374488,Unidad,1,17.5,0
Arena Gatos Clean Agranel x KG,Genérico,Mascotas,,Unidad,1,3.0,0
Arena Gatos Clean Paws  Lavanda x 5 kg,Clean Paws,Mascotas,9780201378917,Unidad,1,16.5,0
Arena Gatos Clean Paws  Manzana x 5 Kg,Clean Paws,Mascotas,9780201378917,Unidad,1,16.5,0
Arena Gatos Clean Paws Cherry x 5 kg,Clean Paws,Mascotas,9780201377552,Unidad,1,16.5,0
